USU_ID,Trough,Tank,Chloride,Al,As,B,Ba,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,S,Se,Si,Sr,Zn,Sulfate-Sulfur
2333,1,1,3.42,,0.006,0.004,,6.29,,,,0.003,,0.17,2.13,,,0.93,,,0.001,0.61,,0.76,0.02,0.01,1.83
2334,1,2,2.37,,0.005,0.004,,104,,0.001,,0.002,,0.18,44.1,,,0.88,,,,138,,0.86,0.03,0.02,413
2335,1,3,2.68,,0.004,0.005,,242,,0.001,,,,0.30,105,0.002,,0.89,,,,338,,0.82,0.06,0.01,1013
2336,1,4,2.40,,,0.003,,54.8,,,,0.001,0.00,0.22,23.0,,,0.84,,,0.001,69.1,,0.80,0.03,0.01,207
2337,1,5,2.45,,0.003,0.004,,195,,0.001,0.001,,,0.14,83.4,,,0.77,,,,268,,0.75,0.05,0.01,803
2338,1,6,2.57,,0.002,0.003,,151,,,,0.003,,0.32,64.1,,,0.99,,,0.002,204,,0.84,0.04,0.02,613
2339,2,7,2.36,,0.004,0.004,,148,,,,0.003,,0.11,63.4,,,0.91,0.001,,,202,,0.88,0.05,0.02,607
2340,2,8,2.42,,0.006,0.002,,56.1,,,,0.002,,0.13,23.2,,,0.92,0.001,,0.002,69.7,,0.97,0.03,0.02,209
2341,2,9,2.38,,0.004,0.002,,6.70,,,,0.001,,0.11,2.20,,,0.85,0.002,,,1.05,,0.76,0.02,0.01,3.16
2342,2,10,2.33,,0.002,0.004,,101,,0.001,,0.004,,0.12,42.4,,,0.94,,,,134,,0.81,0.04,0.02,403
2343,2,11,2.41,,0.003,0.003,,246,,0.001,0.001,0.001,,0.14,104,,,0.85,,,,339,,0.75,0.10,0.03,1016
2344,2,12,2.59,,0.004,0.004,,198,,0.002,0.001,0.002,,0.28,85.3,0.002,,1.04,0.002,,,275,,0.87,0.08,0.03,824
2345,3,13,2.34,,0.004,0.002,,54.9,,,,,,0.29,23.0,,,0.98,0.001,,0.003,69.4,,0.78,0.02,0.02,208
2346,3,14,2.53,,0.002,0.005,,198,,0.002,,,,0.50,84.9,,,1.02,,,,273,,0.94,0.06,0.02,818
2347,3,15,2.41,,0.002,0.005,,152,,0.001,0.001,,,0.48,65.1,0.001,,1.04,,,,206,,0.98,0.05,0.01,619
2348,3,16,2.46,,0.004,0.002,,238,,,,,,0.19,106,,,0.90,0.001,,,334,,0.77,0.12,0.01,1001
2349,3,17,2.35,,0.002,0.002,,6.12,,,,,,0.14,2.15,,,0.82,,,0.002,0.87,,0.86,0.01,0.01,2.60
2350,3,18,2.52,,0.004,0.003,,100,,,,,,0.17,43.0,,,0.85,0.001,,,134,,0.84,0.03,0.02,403
2351,4,19,2.60,,0.003,0.002,,228,,,,0.002,,0.15,105,0.001,,0.85,,,,327,,0.80,0.11,0.02,981
2352,4,20,2.65,,0.003,0.002,,6.64,,,,,,0.15,2.25,,,0.80,0.002,,0.003,1.49,,0.75,0.01,0.01,4.48
2353,4,21,2.44,,0.006,0.003,,103,,,,,,0.15,43.5,,,0.79,,,0.003,137,,0.77,0.03,0.02,410
2354,4,22,2.77,,,0.007,,204,,,0.001,,,0.42,86.6,,,1.27,,,,277,,1.18,0.06,0.01,830
2355,4,23,2.43,,,0.005,,156,,,,,,0.17,66.2,,0.001,0.96,,,,209,,1.03,0.04,0.01,628
2356,4,24,2.20,,,0.003,,57.1,,0.001,,,,0.14,23.9,,,0.84,,,,71.7,,1.08,0.02,0.01,215
2357,5,25,2.42,,,0.004,,106,,,,,,0.14,45.6,0.001,,0.92,,,,141,,1.06,0.03,0.02,423
2358,5,26,2.46,,0.005,0.002,,263,,,0.001,,,0.14,111,,,0.94,,,,361,,0.81,0.13,0.04,1082
2359,5,27,2.60,,,0.005,,207,,,0.001,,,0.16,89.4,0.002,,0.98,,,,285,,0.88,0.06,0.04,856
2360,5,28,2.45,,0.004,0.004,,158,,0.001,,,,0.16,68.4,,,0.99,,,,216,,1.10,0.05,0.05,649
2361,5,29,2.58,,,0.004,,57.8,,,,,,0.11,24.5,,,0.92,,,,72.9,,0.87,0.02,0.04,219
2362,5,30,2.50,,,0.004,,6.49,,,,,,0.14,2.53,,,0.93,,,,1.00,,1.06,0.02,0.02,3.01
2363,6,31,2.49,,0.002,0.005,,203,,0.001,0.002,,,0.13,88.8,0.002,,0.93,,,,282,,0.97,0.05,0.02,845
2364,6,32,2.55,,,0.005,,156,,,,,,0.14,66.3,,,0.95,,,,210,,0.87,0.05,0.02,630
2365,6,33,2.36,,,0.004,,57.3,,,,,,0.16,23.8,,,0.92,,,,71.5,,1.12,0.02,,214
2366,6,34,2.53,,,0.003,,6.57,,,,,,0.13,2.27,,0.001,0.94,,0.03,,0.98,,1.03,0.01,,2.94
2367,6,35,2.41,,,0.005,,106,,,,0.002,,0.15,44.6,,,1.01,,,,139,,1.21,0.03,,418
2368,6,36,2.53,0.003,,0.003,,256,,0.001,,,,0.17,110,0.001,0.001,1.02,,,,354,,1.10,0.13,0.01,1061
2369,,well,14.5,,,0.014,0.022,29.8,,,,,,1.21,21.3,,0.002,8.15,,,,6.32,,7.75,0.12,,19.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
