ID,Head_zoom,Head_micrometer_units,Head_width (mm),Length (mm),TANK
22B,4.5,67,1.49,9,1
38D,4.5,72,1.60,7.5,1
98D,4.5,76,1.69,10.5,1
16E,4.5,78,1.73,11,1
20G,4.5,82,1.82,12,1
25A,4.5,85,1.89,11,1
44F,4.5,86,1.91,12.5,1
65F,4.5,88,1.96,10.5,1
97A,4.5,90,2.00,12,1
85D,4.5,96,2.13,13,1
17A,4.5,70,1.56,8,2
29F,4.5,75,1.67,10.5,2
52B,4.5,78,1.73,12.5,2
25E,4.5,79,1.76,10,2
05F,4.5,82,1.82,11.5,2
80D,4.5,84,1.87,11.5,2
57E,4.5,85,1.89,12,2
93F,4.5,90,2.00,11.5,2
17D,4.5,90,2.00,13,2
87B,4.5,93,2.07,12,2
38B,4.5,68,1.51,9,3
98F,4.5,74,1.64,8.5,3
24F,4.5,77,1.71,11.5,3
61F,4.5,79,1.76,10.5,3
66E,4.5,82,1.82,11.5,3
04G,4.5,83,1.84,11.5,3
41C,4.5,86,1.91,11,3
50F,4.5,88,1.96,12.5,3
11G,4.5,90,2.00,12.5,3
96C,4.5,94,2.09,13,3
100B,4.5,69,1.53,10,4
04F,4.5,73,1.62,10.5,4
03E,4.5,77,1.71,11,4
42D,4.5,80,1.78,11,4
93A,4.5,82,1.82,11,4
3A,4.5,86,1.91,12.5,4
97B,4.5,88,1.96,12,4
32G,4.5,89,1.98,13,4
62F,4.5,93,2.07,12.5,4
40B,4.5,94,2.09,13,4
96A,4.5,70,1.56,10.5,5
90E,4.5,76,1.69,10,5
26F,4.5,79,1.76,11,5
21F,4.5,81,1.80,11,5
97E,4.5,82,1.82,11,5
33G,4.5,85,1.89,13,5
33E,4.5,97,2.16,14,5
17F,4.5,89,1.98,13.5,5
50D,4.5,93,2.07,14.5,5
22D,4.5,95,2.11,12,5
85F,4,86,2.15,13,6
5A,4.5,72,1.60,9,6
57F,4.5,76,1.69,10.5,6
37G,4.5,78,1.73,10,6
24C,4.5,81,1.80,10.5,6
30B,4.5,83,1.84,12,6
33B,4.5,85,1.89,12,6
90B,4.5,87,1.93,13,6
13D,4.5,90,2.00,12,6
33D,4.5,95,2.11,13,6
29G,4.5,69,1.53,8.5,7
19A,4.5,73,1.62,9,7
22F,4.5,75,1.67,9.5,7
40D,4.5,80,1.78,10,7
44E,4.5,82,1.82,11.5,7
06D,4.5,84,1.87,11.5,7
73C,4.5,86,1.91,12,7
52C,4.5,100,2.22,13.5,7
35G,4.5,90,2.00,13,7
16A,4.5,92,2.04,12.5,7
91D,4.5,71,1.58,10,8
34D,4.5,73,1.62,9,8
27A,4.5,77,1.71,9,8
20E,4.5,80,1.78,10.5,8
20F,4.5,81,1.80,12,8
11E,4.5,83,1.84,10.5,8
81D,4.5,86,1.91,12,8
65E,4.5,87,1.93,11.5,8
15B,4.5,90,2.00,13,8
62C,4.5,93,2.07,13.5,8
15G,4.5,63,1.40,9,9
09F,4.5,97,2.16,12,9
29B,4.5,74,1.64,10.5,9
43E,4.5,77,1.71,10.5,9
22A,4.5,80,1.78,13,9
21B,4.5,82,1.82,10.5,9
40A,4.5,86,1.91,11,9
36E,4.5,87,1.93,12,9
39B,4.5,99,2.20,13.5,9
14D,4.5,93,2.07,13,9
93D,4.5,70,1.56,9,10
43B,4.5,76,1.69,9.5,10
45C,4.5,78,1.73,10,10
52F,4.5,80,1.78,10.5,10
39F,4.5,82,1.82,10.5,10
28F,4.5,84,1.87,12,10
39C,4.5,98,2.18,14.5,10
26E,4.5,88,1.96,12.5,10
84C,4.5,89,1.98,13,10
50E,4.5,91,2.02,11.5,10
36A,4.5,68,1.51,8,11
98E,4.5,73,1.62,10,11
28E,4.5,77,1.71,10,11
97F,4.5,79,1.76,11,11
60A,4.5,82,1.82,12,11
31G,4.5,83,1.84,13,11
20C,4.5,97,2.16,15,11
91A,4.5,88,1.96,11,11
94C,4.5,90,2.00,13,11
02F,4.5,93,2.07,12.5,11
62E,4.5,70,1.56,10,12
58C,4.5,76,1.69,10,12
79F,4.5,78,1.73,10,12
86D,4.5,78,1.73,12,12
06G,4.5,80,1.78,12,12
38G,4.5,82,1.82,11.5,12
89F,4.5,84,1.87,12,12
07G,4.5,91,2.02,13,12
54A,4.5,93,2.07,12,12
82F,4.5,95,2.11,14,12
7A,4.5,63,1.40,9.5,13
27F,4.5,73,1.62,8.5,13
71E,4.5,77,1.71,11.5,13
13A,4.5,80,1.78,10.5,13
99A,4.5,82,1.82,11.5,13
32A,4.5,84,1.87,11,13
11A,4.5,86,1.91,10,13
31E,4.5,90,2.00,12.5,13
99F,4.5,93,2.07,13.5,13
29E,4.5,97,2.16,13,13
18B,4.5,66,1.47,8.5,14
78D,4.5,73,1.62,11.5,14
14E,4.5,78,1.73,10,14
25G,4.5,80,1.78,10,14
16G,4.5,82,1.82,12,14
77F,4.5,84,1.87,10.5,14
41F,4.5,86,1.91,12.5,14
56E,4.5,89,1.98,12,14
69F,4.5,91,2.02,12,14
36B,4.5,93,2.07,13,14
18A,4.5,71,1.58,8.5,15
34F,4.5,72,1.60,10,15
60C,4.5,79,1.76,10.5,15
55D,4.5,81,1.80,12,15
54C,4.5,83,1.84,10.5,15
53E,4.5,83,1.84,12.5,15
19D,4.5,85,1.89,12,15
30E,4.5,87,1.93,12,15
57A,4.5,90,2.00,12,15
61B,4.5,95,2.11,14,15
12G,4.5,67,1.49,9.5,16
40G,4.5,75,1.67,10,16
01C,4.5,77,1.71,10,16
83B,4.5,78,1.73,10,16
39G,4.5,96,2.13,14,16
79D,4.5,84,1.87,12,16
87D,4.5,86,1.91,11.5,16
28A,4.5,89,1.98,12.5,16
81F,4.5,90,2.00,13,16
10C,4.5,96,2.13,14,16
39E,4.5,70,1.56,9,17
11D,4.5,72,1.60,11,17
59F,4.5,76,1.69,10.5,17
69C,4.5,81,1.80,11,17
81B,4.5,81,1.80,11,17
16C,4.5,83,1.84,11,17
63F,4.5,86,1.91,10.5,17
07D,4.5,87,1.93,12,17
10A,4.5,90,2.00,12.5,17
81A,4.5,93,2.07,13.5,17
32D,4.5,71,1.58,7.5,18
23F,4.5,72,1.60,10.5,18
24G,4.5,76,1.69,9,18
50C,4.5,79,1.76,9.5,18
46B,4.5,93,2.07,,18
99C,4.5,83,1.84,10.5,18
69D,4.5,85,1.89,12,18
13F,4.5,90,2.00,14,18
86F,4.5,94,2.09,12.5,18
46C,4.5,95,2.11,12.5,18
74C,4.5,68,1.51,9,19
15C,4.5,70,1.56,10,19
90F,4.5,75,1.67,9,19
06C,4.5,78,1.73,10.5,19
41E,4.5,80,1.78,11.5,19
47E,4.5,84,1.87,12,19
69E,4.5,86,1.91,11,19
94A,4.5,89,1.98,13,19
80B,4.5,91,2.02,14,19
35E,4.5,94,2.09,12,19
08F,4.5,68,1.51,9.5,20
55F,4.5,74,1.64,10.5,20
51F,4.5,77,1.71,11.5,20
46A,4.5,80,1.78,10,20
03F,4.5,98,2.18,14.5,20
32C,4.5,84,1.87,10.5,20
63C,4.5,86,1.91,11.5,20
68E,4.5,88,1.96,12,20
64E,4.5,90,2.00,12.5,20
57B,4.5,94,2.09,14,20
12C,4.5,67,1.49,8.5,21
43F,4.5,76,1.69,10,21
53C,4.5,81,1.80,10,21
76B,4.5,83,1.84,11,21
17C,4.5,85,1.89,10.5,21
08E,4.5,86,1.91,13,21
24D,4.5,89,1.98,11.5,21
83C,4.5,98,2.18,13,21
95C,4.5,95,2.11,12.5,21
44B,4.5,96,2.13,14,21
12D,4.5,64,1.42,7.5,22
23G,4.5,71,1.58,11.5,22
31F,4.5,78,1.73,10,22
51B,4.5,83,1.84,12.5,22
07B,4.5,85,1.89,12,22
8A,4.5,87,1.93,12,22
40F,4.5,89,1.98,13.5,22
09G,4.5,92,2.04,12,22
82B,4.5,92,2.04,13,22
71F,4,86,2.15,17,22
75D,4.5,63,1.40,9,23
40E,4.5,73,1.62,10,23
95D,4.5,77,1.71,10.5,23
49F,4.5,79,1.76,11,23
20A,4.5,82,1.82,11,23
47A,4.5,100,2.22,14,23
96F,4.5,85,1.89,12,23
88F,4.5,87,1.93,11,23
97C,4.5,90,2.00,11.5,23
21D,4.5,93,2.07,12.5,23
18D,4.5,70,1.56,9,24
42A,4.5,76,1.69,9,24
75C,4.5,78,1.73,10.5,24
01F,4.5,80,1.78,11,24
58F,4.5,82,1.82,12,24
100E,4.5,84,1.87,12,24
70E,4.5,86,1.91,12,24
53D,4.5,89,1.98,12,24
40C,4.5,91,2.02,11.5,24
48F,4.5,94,2.09,12.5,24
72E,4.5,67,1.49,9,25
08D,4.5,73,1.62,9.5,25
52A,4.5,78,1.73,10,25
100C,4.5,79,1.76,10.5,25
88D,4.5,81,1.80,11,25
65D,4.5,83,1.84,11,25
64D,4.5,85,1.89,11.5,25
80E,4.5,87,1.93,13,25
19C,4.5,93,2.07,11.5,25
73B,4.5,94,2.09,13,25
17E,4.5,63,1.40,9,26
70D,4.5,76,1.69,9.5,26
96E,4.5,78,1.73,10.5,26
78E,4.5,97,2.16,14,26
83F,4.5,82,1.82,9.5,26
50A,4.5,85,1.89,11.5,26
14G,4.5,86,1.91,13,26
93E,4.5,89,1.98,10.5,26
22G,4.5,97,2.16,14,26
79A,4.5,93,2.07,13,26
23E,4.5,68,1.51,8.5,27
10D,4.5,73,1.62,10.5,27
47F,4.5,76,1.69,10.5,27
38F,4.5,79,1.76,10,27
46F,4.5,81,1.80,12.5,27
09B,4.5,84,1.87,12,27
12F,4.5,85,1.89,12,27
27G,4.5,87,1.93,14,27
48C,4.5,90,2.00,13.5,27
15A,4.5,94,2.09,14.5,27
76D,4.5,70,1.56,9,28
49C,4.5,78,1.73,10,28
30G,4.5,80,1.78,10,28
42F,4.5,82,1.82,11.5,28
18G,4.5,84,1.87,12.5,28
89E,4.5,86,1.91,11.5,28
85C,4.5,89,1.98,12,28
36G,4.5,91,2.02,12,28
33C,4.5,97,2.16,13.5,28
38E,4.5,95,2.11,13,28
03B,4.5,66,1.47,8.5,29
35A,4.5,77,1.71,11,29
31C,4.5,77,1.71,11,29
31D,4.5,79,1.76,10.5,29
32F,4.5,81,1.80,12,29
54E,4.5,83,1.84,12,29
51E,4.5,85,1.89,12,29
52E,4.5,87,1.93,12,29
56C,4.5,90,2.00,12.5,29
47C,4.5,93,2.07,12.5,29
12B,4.5,69,1.53,9,30
91F,4.5,74,1.64,10.5,30
05C,4.5,80,1.78,11.5,30
06E,4.5,82,1.82,11,30
78C,4.5,84,1.87,12,30
44C,4.5,86,1.91,13,30
46E,4.5,88,1.96,14,30
43A,4.5,90,2.00,12,30
67A,4.5,94,2.09,13,30
27E,4.5,96,2.13,12.5,30
29D,4.5,68,1.51,9,31
42C,4.5,74,1.64,9.5,31
94E,4.5,77,1.71,10,31
34A,4.5,80,1.78,11,31
77C,4.5,82,1.82,11.5,31
25C,4.5,84,1.87,10.5,31
63B,4.5,86,1.91,12,31
74E,4.5,88,1.96,12.5,31
26D,4.5,90,2.00,15,31
39A,4.5,94,2.09,13,31
23D,4.5,66,1.47,8,32
13C,4.5,76,1.69,9.5,32
98C,4.5,78,1.73,10,32
26G,4.5,80,1.78,11,32
28G,4.5,82,1.82,10.5,32
68F,4.5,97,2.16,14.5,32
56F,4.5,86,1.91,12,32
94D,4.5,89,1.98,13.5,32
34G,4.5,91,2.02,13,32
59A,4.5,95,2.11,12.5,32
21G,4.5,71,1.58,9,33
73E,4.5,76,1.69,10.5,33
54F,4.5,78,1.73,10,33
38D,4.5,80,1.78,10.5,33
29C,4.5,81,1.80,11.5,33
50B,4.5,83,1.84,11,33
37B,4.5,85,1.89,12,33
24A,4.5,87,1.93,12,33
36F,4.5,89,1.98,14,33
82D,4.5,95,2.11,14,33
19B,4.5,70,1.56,9.5,34
03G,4.5,75,1.67,9,34
30C,4.5,78,1.73,10.5,34
59E,4.5,80,1.78,10.5,34
07F,4.5,82,1.82,10.5,34
75E,4.5,84,1.87,13,34
22C,4.5,87,1.93,11,34
70A,4.5,89,1.98,13,34
15D,4.5,94,2.09,13.5,34
17G,4.5,96,2.13,13,34
70C,4.5,65,1.44,8.5,35
36D,4.5,97,2.16,10.5,35
92E,4.5,78,1.73,11,35
51C,4.5,79,1.76,10,35
33A,4.5,83,1.84,11,35
08C,4.5,85,1.89,11.5,35
16B,4.5,85,1.89,13,35
60F,4.5,89,1.98,12,35
72F,4.5,92,2.04,12.5,35
67B,4.5,92,2.04,13.5,35
77D,4.5,66,1.47,8,36
53F,4.5,76,1.69,10.5,36
04D,4.5,76,1.69,10.5,36
84A,4.5,97,2.16,13,36
55C,4.5,81,1.80,12,36
95B,4.5,83,1.84,11,36
35C,4.5,85,1.89,12,36
26C,4.5,87,1.93,11.5,36
80F,4.5,89,1.98,11,36
64B,4.5,95,2.11,13.5,36
