DATE,TANK,TEMP (C) ,DO%,DO (mg/L),CONDUCTIVITY
7/29/2020,1,15.4,77.7,7.77,60
7/29/2020,2,15.4,82.6,8.26,815
7/29/2020,3,15.5,82.5,8.24,1685
7/29/2020,4,15.4,83.8,8.38,485
7/29/2020,5,15.3,83.5,8.37,1395
7/29/2020,6,14.8,84.0,8.50,1100
7/29/2020,7,21.4,83.8,7.46,1165
7/29/2020,8,21.3,82.2,7.38,510
7/29/2020,9,21.4,83.1,7.39,70
7/29/2020,10,21.5,84.6,7.47,850
7/29/2020,11,21.7,84.1,7.39,1755
7/29/2020,12,21.8,83.9,7.36,1485
7/29/2020,13,16.4,83.4,8.15,480
7/29/2020,14,16.4,83.7,8.18,1445
7/29/2020,15,16.4,82.8,8.11,1160
7/29/2020,16,16.3,82.0,8.04,1735
7/29/2020,17,16.1,80.8,7.93,65
7/29/2020,18,15.9,83.0,8.23,835
7/29/2020,19,19.3,82.5,7.64,1780
7/29/2020,20,19.3,79.7,7.35,70
7/29/2020,21,19.3,82.8,7.65,865
7/29/2020,22,19.4,82.4,7.57,1470
7/29/2020,23,19.4,79.2,7.32,1170
7/29/2020,24,19.4,83.4,7.68,495
7/29/2020,25,14.3,83.9,8.59,830
7/29/2020,26,14.2,84.5,8.68,1745
7/29/2020,27,14.2,84.8,8.70,1295
7/29/2020,28,14.2,84.2,8.64,1170
7/29/2020,29,14.0,83.5,8.60,500
7/29/2020,30,13.5,84.5,8.81,60
7/29/2020,31,18.1,85.7,8.10,1490
7/29/2020,32,18.3,81.2,7.62,1195
7/29/2020,33,18.3,80.9,7.61,505
7/29/2020,34,18.3,82.0,7.71,70
7/29/2020,35,18.2,84.0,7.92,845
7/29/2020,36,18.1,84.1,7.95,1750
8/3/2020,1,15.6,80.7,8.02,70
8/3/2020,2,15.6,81.4,8.10,830
8/3/2020,3,15.6,81.9,8.15,1705
8/3/2020,4,15.6,82.2,8.18,485
8/3/2020,5,15.4,82.3,8.21,1430
8/3/2020,6,14.9,82.6,8.35,1145
8/3/2020,7,21.2,83.1,7.38,1220
8/3/2020,8,21.4,82.3,7.28,535
8/3/2020,9,21.5,82.7,7.30,85
8/3/2020,10,21.5,83.2,7.33,890
8/3/2020,11,21.7,83.0,7.29,1820
8/3/2020,12,21.8,83.2,7.29,1545
8/3/2020,13,16.9,82.3,7.97,480
8/3/2020,14,16.8,81.1,7.85,1430
8/3/2020,15,16.8,82.0,7.94,1150
8/3/2020,16,16.7,80.3,7.81,1730
8/3/2020,17,16.6,79.5,7.75,80
8/3/2020,18,16.2,82.0,8.07,835
8/3/2020,19,19.7,83.0,7.58,1820
8/3/2020,20,19.7,80.6,7.34,80
8/3/2020,21,19.7,82.1,7.51,880
8/3/2020,22,19.7,82.7,7.56,1490
8/3/2020,23,19.7,80.9,7.40,1185
8/3/2020,24,19.6,81.9,7.51,510
8/3/2020,25,14.3,82.9,8.48,825
8/3/2020,26,14.3,83.6,8.56,1735
8/3/2020,27,14.3,83.9,8.59,1465
8/3/2020,28,14.3,83.6,8.55,1165
8/3/2020,29,14.3,82.3,8.40,500
8/3/2020,30,13.6,83.6,8.70,70
8/3/2020,31,18.5,84.9,7.95,1535
8/3/2020,32,18.6,82.9,7.71,1220
8/3/2020,33,18.7,79.9,7.45,520
8/3/2020,34,18.7,82.2,7.67,80
8/3/2020,35,18.7,83.5,7.81,865
8/3/2020,36,18.3,84.0,7.91,1770
8/7/2020,1,15.1,81.4,8.21,75
8/7/2020,2,15.1,82.0,8.25,825
8/7/2020,3,15.0,82.5,8.32,1705
8/7/2020,4,14.7,82.8,8.40,480
8/7/2020,5,14.6,82.7,8.41,1435
8/7/2020,6,14.4,83.1,8.49,1145
8/7/2020,7,20.5,83.2,7.48,1205
8/7/2020,8,20.8,83.2,7.45,535
8/7/2020,9,21.0,83.5,7.44,90
8/7/2020,10,21.2,83.7,7.43,875
8/7/2020,11,21.4,83.7,7.39,1810
8/7/2020,12,21.7,83.5,7.35,1525
8/7/2020,13,16.3,82.7,8.12,485
8/7/2020,14,16.2,81.8,8.03,1435
8/7/2020,15,16.2,82.3,8.06,1160
8/7/2020,16,16.2,82.2,8.07,1735
8/7/2020,17,16.0,80.9,7.98,85
8/7/2020,18,15.8,83.1,8.24,830
8/7/2020,19,19.0,83.8,7.77,1805
8/7/2020,20,19.1,80.4,7.43,85
8/7/2020,21,19.1,82.9,7.68,880
8/7/2020,22,19.2,83.3,7.70,1490
8/7/2020,23,19.2,82.0,7.57,1185
8/7/2020,24,19.3,83.0,7.65,510
8/7/2020,25,14.1,83.3,8.58,830
8/7/2020,26,13.9,84.0,8.68,1725
8/7/2020,27,13.9,84.2,8.70,1450
8/7/2020,28,13.9,84.0,8.67,1085
8/7/2020,29,13.6,82.3,8.55,490
8/7/2020,30,13.1,84.1,8.85,70
8/7/2020,31,17.9,84.9,8.05,1495
8/7/2020,32,18.0,82.5,7.80,1200
8/7/2020,33,18.1,81.0,7.64,510
8/7/2020,34,18.0,81.3,7.69,80
8/7/2020,35,18.0,83.5,7.91,840
8/7/2020,36,17.9,84.0,7.96,1745
8/11/2020,1,15.2,81.4,8.18,75
8/11/2020,2,15.2,82.1,8.24,825
8/11/2020,3,15.2,82.4,8.27,1710
8/11/2020,4,15.1,82.8,8.34,485
8/11/2020,5,14.7,82.9,8.40,1405
8/11/2020,6,14.4,83.4,8.52,1120
8/11/2020,7,21.0,83.1,7.41,1160
8/11/2020,8,21.2,83.2,7.39,515
8/11/2020,9,21.3,83.2,7.38,90
8/11/2020,10,21.4,83.8,7.41,840
8/11/2020,11,21.6,83.9,7.38,1745
8/11/2020,12,21.7,83.8,7.37,1470
8/11/2020,13,16.3,82.8,8.13,480
8/11/2020,14,16.3,83.1,8.13,1445
8/11/2020,15,16.3,83.0,8.14,1160
8/11/2020,16,16.3,82.6,8.10,1740
8/11/2020,17,16.1,81.2,7.99,85
8/11/2020,18,15.9,83.4,8.25,835
8/11/2020,19,19.2,83.8,7.74,1770
8/11/2020,20,19.3,80.8,7.45,85
8/11/2020,21,19.3,83.0,7.66,865
8/11/2020,22,19.3,83.6,7.70,1460
8/11/2020,23,19.3,81.8,7.54,1170
8/11/2020,24,19.4,83.5,7.68,500
8/11/2020,25,13.8,83.6,8.65,815
8/11/2020,26,13.8,84.4,8.72,1705
8/11/2020,27,13.8,84.6,8.76,1445
8/11/2020,28,13.8,84.5,8.74,1170
8/11/2020,29,13.5,84.3,8.78,495
8/11/2020,30,13.0,84.7,8.93,75
8/11/2020,31,18.0,85.1,8.05,1465
8/11/2020,32,18.1,83.7,7.91,1180
8/11/2020,33,18.1,84.2,7.95,505
8/11/2020,34,18.1,84.5,7.98,80
8/11/2020,35,18.0,84.5,8.00,825
8/11/2020,36,17.9,84.5,8.02,1715
8/14/2020,1,15.1,81.2,8.16,75
8/14/2020,2,15.1,82.1,8.27,820
8/14/2020,3,15.0,82.9,8.36,1700
8/14/2020,4,14.9,83.3,8.42,485
8/14/2020,5,14.8,83.2,8.43,1420
8/14/2020,6,14.6,83.9,8.53,1120
8/14/2020,7,20.7,83.9,7.52,1145
8/14/2020,8,20.9,83.8,7.48,510
8/14/2020,9,21.1,83.8,7.45,95
8/14/2020,10,21.2,84.0,7.46,835
8/14/2020,11,21.5,83.4,7.36,1730
8/14/2020,12,21.7,83.8,7.37,1470
8/14/2020,13,16.2,83.5,8.19,485
8/14/2020,14,16.3,83.2,8.13,1435
8/14/2020,15,16.3,83.1,8.15,1150
8/14/2020,16,16.2,83.0,8.12,1730
8/14/2020,17,16.1,82.0,8.07,85
8/14/2020,18,15.9,83.2,8.23,825
8/14/2020,19,19.1,84.3,7.81,1760
8/14/2020,20,19.2,82.3,7.58,90
8/14/2020,21,19.2,83.5,7.71,860
8/14/2020,22,19.3,83.6,7.71,1455
8/14/2020,23,19.3,81.2,7.50,1160
8/14/2020,24,19.4,83.2,7.66,500
8/14/2020,25,13.9,84.1,8.67,820
8/14/2020,26,14.0,84.7,8.73,1680
8/14/2020,27,14.0,85.0,8.76,1420
8/14/2020,28,14.0,84.5,8.70,1155
8/14/2020,29,13.7,84.3,8.74,495
8/14/2020,30,13.2,84.8,8.90,80
8/14/2020,31,18.0,85.5,8.07,1445
8/14/2020,32,18.1,85.0,8.02,1185
8/14/2020,33,18.1,83.0,7.85,505
8/14/2020,34,18.0,83.8,7.94,85
8/14/2020,35,18.0,84.6,8.01,825
8/14/2020,36,17.9,84.6,8.02,1700
8/19/2020,1,15.3,83.1,8.32,70
8/19/2020,2,15.3,83.6,8.38,710
8/19/2020,3,15.3,83.8,8.40,1680
8/19/2020,4,15.3,84.1,8.42,485
8/19/2020,5,15.1,84.2,8.47,1415
8/19/2020,6,14.6,84.5,8.60,1120
8/19/2020,7,21.2,84.9,7.54,1155
8/19/2020,8,21.3,84.8,7.51,515
8/19/2020,9,21.4,84.7,7.49,100
8/19/2020,10,21.6,85.3,7.51,845
8/19/2020,11,21.7,85.5,7.51,1760
8/19/2020,12,21.8,85.5,7.50,1480
8/19/2020,13,16.3,84.1,8.25,480
8/19/2020,14,16.3,84.0,8.22,1430
8/19/2020,15,16.3,84.1,8.25,1145
8/19/2020,16,16.3,84.1,8.25,1725
8/19/2020,17,16.1,83.4,8.21,90
8/19/2020,18,15.9,83.9,8.31,825
8/19/2020,19,19.4,85.2,7.83,1755
8/19/2020,20,19.4,83.2,7.65,95
8/19/2020,21,19.4,84.1,7.74,860
8/19/2020,22,19.4,84.5,7.78,1450
8/19/2020,23,19.4,82.9,7.63,1175
8/19/2020,24,19.4,84.1,7.75,500
8/19/2020,25,14.0,84.7,8.73,820
8/19/2020,26,14.0,85.0,8.76,1690
8/19/2020,27,14.0,85.1,8.76,1420
8/19/2020,28,14.0,84.9,8.74,1135
8/19/2020,29,13.8,84.7,8.76,490
8/19/2020,30,13.3,85.1,8.91,85
8/19/2020,31,18.2,85.6,8.07,1460
8/19/2020,32,18.3,85.2,8.00,1185
8/19/2020,33,18.3,84.1,7.91,500
8/19/2020,34,18.3,84.8,7.98,90
8/19/2020,35,18.2,85.1,8.04,830
8/19/2020,36,18.0,85.4,8.09,1710
8/25/2020,1,15.4,80.2,8.02,85
8/25/2020,2,15.4,81.3,8.12,825
8/25/2020,3,15.4,81.7,8.17,1700
8/25/2020,4,15.4,82.0,8.20,485
8/25/2020,5,15.3,82.1,8.23,1420
8/25/2020,6,14.8,82.6,8.36,1110
8/25/2020,7,21.1,83.4,7.43,1145
8/25/2020,8,21.2,83.6,7.42,510
8/25/2020,9,21.3,83.6,7.40,110
8/25/2020,10,21.5,83.3,7.35,830
8/25/2020,11,21.6,83.6,7.36,1735
8/25/2020,12,21.8,83.8,7.35,1450
8/25/2020,13,16.8,83.2,8.09,480
8/25/2020,14,16.8,82.5,8.00,1425
8/25/2020,15,16.8,82.3,7.98,1145
8/25/2020,16,16.7,82.1,7.97,1720
8/25/2020,17,16.3,81.7,8.01,95
8/25/2020,18,15.9,82.2,8.13,815
8/25/2020,19,19.4,83.5,7.68,1760
8/25/2020,20,19.4,82.0,7.55,105
8/25/2020,21,19.4,83.0,7.63,860
8/25/2020,22,19.4,83.5,7.68,1425
8/25/2020,23,19.4,82.3,7.57,1165
8/25/2020,24,19.4,83.3,7.67,505
8/25/2020,25,12.9,83.1,8.78,810
8/25/2020,26,12.8,83.7,8.84,1685
8/25/2020,27,12.8,83.6,8.85,1420
8/25/2020,28,12.7,83.6,8.87,1155
8/25/2020,29,12.7,83.5,8.86,495
8/25/2020,30,12.4,83.8,8.95,90
8/25/2020,31,18.1,83.9,7.88,1450
8/25/2020,32,18.2,84.3,7.94,1180
8/25/2020,33,18.2,84.4,7.95,510
8/25/2020,34,18.2,84.4,7.96,100
8/25/2020,35,18.1,84.5,7.99,830
8/25/2020,36,18.1,84.7,8.01,1700
8/28/2020,1,15.2,81.7,8.21,75
8/28/2020,2,15.2,82.2,8.24,825
8/28/2020,3,15.3,82.5,8.26,1695
8/28/2020,4,15.2,82.7,8.30,485
8/28/2020,5,14.9,82.9,8.36,1420
8/28/2020,6,14.6,83.4,8.49,1105
8/28/2020,7,20.7,84.1,7.54,1140
8/28/2020,8,20.9,84.0,7.50,515
8/28/2020,9,21.0,83.8,7.47,110
8/28/2020,10,21.3,84.1,7.45,840
8/28/2020,11,21.5,84.2,7.43,1725
8/28/2020,12,21.7,84.4,7.43,1460
8/28/2020,13,16.7,83.3,8.09,490
8/28/2020,14,16.7,82.5,8.01,1440
8/28/2020,15,16.7,82.3,8.00,1150
8/28/2020,16,16.6,82.8,8.07,1730
8/28/2020,17,16.2,82.6,8.09,95
8/28/2020,18,15.8,83.2,8.26,820
8/28/2020,19,19.2,84.7,7.83,1740
8/28/2020,20,19.2,82.7,7.64,100
8/28/2020,21,19.3,84.2,7.76,865
8/28/2020,22,19.3,84.6,7.80,1440
8/28/2020,23,19.3,84.2,7.76,1170
8/28/2020,24,19.4,84.4,7.77,510
8/28/2020,25,12.7,84.5,8.96,815
8/28/2020,26,12.7,84.6,8.98,1670
8/28/2020,27,12.6,84.8,9.01,1405
8/28/2020,28,12.6,84.9,9.02,1160
8/28/2020,29,12.6,84.8,9.02,500
8/28/2020,30,12.4,85.2,9.10,90
8/28/2020,31,18.0,85.6,8.09,1435
8/28/2020,32,18.1,85.7,8.09,1190
8/28/2020,33,18.1,85.5,8.07,510
8/28/2020,34,18.1,85.6,8.10,95
8/28/2020,35,18.0,85.6,8.10,825
8/28/2020,36,18.0,85.7,8.11,1690
